id,customer_type,age,class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,gender_Female,gender_Male,type_of_travel_business_travel,type_of_travel_personal_travel
13508,1,0.5,0.0,0.0395799676898223,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,1.0,0.25,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.5,1.0,0.6000000000000001,0.4,0.0,0.013847675568743818,1.0,0.0,1.0,0.0
28874,1,0.24358974358974356,0.0,0.20577544426494349,0.6000000000000001,0.4,0.4,0.4,0.6000000000000001,0.8,0.5,0.6000000000000001,0.4,0.8,0.5,0.5,0.2,0.6000000000000001,0.0,0.0,0.0,1.0,1.0,0.0
21484,0,0.4358974358974359,1.0,0.026857835218093703,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.2,1.0,0.6000000000000001,1.0,1.0,0.4,0.4,0.0,1.0,0.6000000000000001,1.0,0.0,0.0,1.0,0.0,1.0,0.0
48280,1,0.5897435897435898,0.5,0.04139741518578353,0.6000000000000001,1.0,0.6000000000000001,0.6000000000000001,0.8,1.0,0.0,0.4,0.4,0.6000000000000001,0.0,1.0,0.4,0.4,0.029498525073746316,0.020771513353115726,1.0,0.0,0.0,1.0
472,0,0.423076923076923,1.0,0.016558966074313407,0.2,0.2,0.2,0.8,0.6000000000000001,0.2,0.5,0.6000000000000001,1.0,0.6000000000000001,1.0,0.75,0.8,0.6000000000000001,0.021632251720747297,0.019782393669634024,0.0,1.0,1.0,0.0
101804,1,0.6538461538461539,1.0,0.3008885298869144,0.8,0.8,0.8,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.6000000000000001,0.0,0.0,0.0,1.0,1.0,0.0
114636,1,0.4871794871794871,1.0,0.5357431340872375,0.2,0.2,0.2,0.2,0.6000000000000001,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.8,0.0,0.0,0.0,1.0,1.0,0.0
75377,1,0.423076923076923,1.0,0.46668012924071084,0.4,0.4,0.8,0.4,0.4,0.6000000000000001,1.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.5,0.75,0.6000000000000001,0.8,0.0,0.0,1.0,0.0,1.0,0.0
92243,1,0.8333333333333333,0.0,0.3309773828756058,0.8,0.4,0.4,0.4,0.4,0.4,0.75,1.0,1.0,0.8,1.0,0.25,1.0,0.8,0.0,0.0,1.0,0.0,1.0,0.0
116155,1,0.025641025641025633,0.0,0.06280290791599355,0.8,0.2,0.8,0.8,0.6000000000000001,0.8,0.5,0.6000000000000001,0.6000000000000001,1.0,0.5,0.75,0.8,0.6000000000000001,0.0,0.0,1.0,0.0,0.0,1.0
31506,1,0.012820512820512817,1.0,0.4693053311793215,0.4,0.8,0.8,0.8,0.4,0.4,0.25,0.4,0.2,0.8,0.5,0.75,0.4,0.4,0.011799410029498525,0.044510385756676554,1.0,0.0,1.0,0.0
47609,1,0.5,0.0,0.2382875605815832,1.0,1.0,0.8,0.8,0.6000000000000001,0.4,0.75,1.0,1.0,1.0,1.0,0.25,1.0,0.6000000000000001,0.017699115044247787,0.010880316518298714,1.0,0.0,1.0,0.0
4306,1,0.4487179487179487,0.5,0.014337641357027465,0.8,1.0,0.4,1.0,1.0,0.8,1.0,1.0,0.8,0.4,0.0,0.25,1.0,1.0,0.02064896755162242,0.021760633036597428,0.0,1.0,1.0,0.0
111135,0,0.23076923076923073,0.0,0.23061389337641358,0.4,0.4,0.4,0.6000000000000001,0.6000000000000001,0.4,0.5,0.6000000000000001,0.8,0.4,0.5,0.5,0.8,0.6000000000000001,0.0,0.0,1.0,0.0,1.0,0.0
51436,1,0.4358974358974359,0.5,0.05957189014539581,0.6000000000000001,1.0,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.0,0.4,0.4,0.6000000000000001,0.25,0.0,0.4,0.4,0.018682399213372666,0.004945598417408506,1.0,0.0,0.0,1.0
55969,1,0.2692307692307692,1.0,0.32088045234248785,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.75,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
94795,1,0.5128205128205128,1.0,0.3144184168012924,0.4,0.6000000000000001,0.4,0.4,0.6000000000000001,0.6000000000000001,0.5,0.4,0.4,0.6000000000000001,0.25,0.25,0.4,0.6000000000000001,0.021632251720747297,0.021760633036597428,1.0,0.0,1.0,0.0
35896,1,0.28205128205128205,0.5,0.20880452342487885,0.4,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,0.4,0.25,0.4,0.6000000000000001,0.6000000000000001,0.75,0.25,0.6000000000000001,0.4,0.0,0.0,1.0,0.0,1.0,0.0
123334,1,0.7564102564102564,0.5,0.11490306946688207,0.2,0.8,0.2,0.8,0.2,0.2,0.0,0.6000000000000001,1.0,0.6000000000000001,0.75,0.0,0.8,0.2,0.14454277286135694,0.13847675568743817,0.0,1.0,0.0,1.0
98490,1,0.4487179487179487,1.0,0.12863489499192246,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,1.0,1.0,0.75,0.8,0.8,0.8,0.75,0.75,0.8,1.0,0.0009832841691248771,0.010880316518298714,1.0,0.0,1.0,0.0
2155,1,0.2948717948717948,1.0,0.5710823909531503,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,1.0,1.0,1.0,0.6000000000000001,0.8,1.0,0.5,0.8,1.0,0.015732546705998034,0.01582591493570722,1.0,0.0,1.0,0.0
115811,0,0.47435897435897434,0.0,0.06603392568659128,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.75,0.8,0.8,0.4,0.5,0.25,0.6000000000000001,0.8,0.01376597836774828,0.010880316518298714,1.0,0.0,1.0,0.0
42874,1,0.6282051282051282,0.0,0.08804523424878838,0.8,0.2,0.2,0.2,0.8,0.8,0.75,0.8,0.2,0.6000000000000001,0.75,0.25,0.6000000000000001,0.8,0.0,0.0,0.0,1.0,1.0,0.0
71493,1,0.21794871794871795,1.0,0.21991114701130857,0.8,0.2,0.8,0.8,1.0,0.8,1.0,1.0,0.8,0.8,0.5,0.75,0.6000000000000001,1.0,0.007866273352999017,0.003956478733926805,1.0,0.0,0.0,1.0
43751,1,0.717948717948718,1.0,0.7033521809369953,0.2,0.2,0.2,0.2,1.0,1.0,0.5,0.8,0.8,0.8,0.75,0.75,0.8,1.0,0.0,0.027695351137487636,1.0,0.0,1.0,0.0
36556,0,0.1923076923076923,0.0,0.22011308562197093,0.8,0.8,0.8,0.8,0.2,0.8,0.0,0.2,0.8,0.8,0.0,0.5,0.2,0.2,0.02753195673549656,0.030662710187932738,1.0,0.0,1.0,0.0
